date,surname,name,goods_number,total_money
2016.30.12,Ivanov,Ivan,4,100
2016.30.12,Petrov,Petr,1,100
2016.31.12,Sidorov,Petr,2,10
2016.31.12,Petrov,Petr,4,230
2016.31.12,Ivanov,Ivan,42,420
2016.31.12,Ivanov,Ivan,5,101
2017.01.01,Ivanov,Ivan,4,100
2017.02.01,Petrov,Petr,1,100
2017.02.01,Sidorov,Petr,2,10
2017.03.01,Petrov,Petr,4,230
2017.03.01,Ivanov,Ivan,42,420
2017.03.01,Ivanov,Ivan,5,101
2017.04.01,Petrov,Petr,9,126
2017.04.01,Petrov,Petr,2,561
2017.06.01,Sidorov,Petr,2,121
2017.08.01,Sidorov,Petr,7,313
2017.09.01,Ivanov,Ivan,6,1132
2017.10.01,Petrov,Petr,23,546
2017.10.01,Ivanov,Ivan,43,43
2017.10.01,Sidorov,Petr,1,7657
2017.12.01,Sidorov,Petr,12,432
2017.14.01,Petrov,Petr,11,234
2017.14.01,Ivanov,Ivan,9,123
